Position,Company Name,Pay,Experience,Rating,URL
data science analyst - AVP,Citi,,5-8 Years,,
Data Science Senior Analyst - Compliance Testing Automation,Citi,,5-8 Years,,
Data Science Analyst - AVP,Citi,,5-8 Years,,
Data Science Lead Analyst - Compliance Testing Analytics - VP,Citi,,6-10 Years,,
Data Science Lead Analyst - Compliance Testing Analytics- VP (Hybrid),Citi,,6-10 Years,,
"Automation Expert, Private Brands Sherlock",Amazon,,1-4 Years,,
DG - Lead Consultant - MES Developer,Genpact,,"DG - Lead Consultant - MES Developer
Operations",,
C9- Technology Risk & Controls,Citi,,4-6 Years,,
"Lead, Data Analysis",Standard Chartered,,10-13 Years,,
"Specialist, Data Analysis",Standard Chartered,,5-8 Years,,
"Automation Expert, Private Brands Sherlock",Amazon,,1-4 Years,,
Data Analytics Senior Analyst - C12,Citi,,8-11 Years,,
Software Development Senior Analyst,NTT Data,,,,
IT Project Tech Lead -FX-C12,Citi,,6-8 Years,,
GFT Finance Oracle EBS P2P Business Analyst PA/GL– Chennai – C10,Citi,,4-6 Years,,
Apps Dev Senior Programmer Analyst/ AVP- Java technology,Citi,,5-8 Years,,
Data Analyst,Standard Chartered,,5-8 Years,,
DevOps Senior Support Engineer-CTS Chennai,Citi,,9-10 Years,,
DevOps Senior Support Engineer-CTS Chennai,Citi,,5-8 Years,,
DevOps Senior Support Engineer-CTS Chennai,Citi,,9-10 Years,,
DevOps Technical Lead-CTS Chennai,Citi,,12-15 Years,,
Business Analyst,Amazon,,3-6 Years,,
Data Analyst,Standard Chartered,,Data Analyst,,
Business Analyst,Amazon,,3-6 Years,,
DG-Manager-Data Analytics -LDT,Genpact,,4-8 Years,,
DevOps Support Engineer-CTS Chennai,Citi,,3-6 Years,,
DevOps Senior Support Engineer-CTS Chennai,Citi,,5-8 Years,,
Senior Analyst/ Data Scientist - Data Science (SAS),Tiger Analytics,,2-5 Years,,
Senior Data Science Analyst - Compliance Testing Analytics- AVP (Hybrid),Citi,,5-8 Years,,
"Specialist, QA and Testing",Standard Chartered,,5-8 Years,,
Data Analyst,Standard Chartered,,Data Analyst,,
"Consultant, Software Development & Automation (Open)",Ramboll India Private Limited,,,,
Senior Business Analyst,Roche,,4-7 Years,,
Business Analyst (34524),Incedoinc,,5-7 Years,,
Salesforce Business Analyst,Trimble Inc.,,4-7 Years,,
Senior Tech Analyst,Roche,,4-7 Years,,
Snr Financial Analyst,Academic Press Elsevier,,3-5 Years,,
Application Support Sr Analyst,Citi,,5-8 Years,,
Java Sr. Developer - Chennai- C11,Citi,,6-9 Years,,
Java Sr. Developer - Chennai- C11,Citi,,6-9 Years,,
Data Analyst - Technology Consulting,Tiger Analytics,,5-8 Years,,
Positions to Work -23rd August - Nadeem,Arminus Software Private Limited,,,,
"Senior Business Analyst, APAC Payment Business Operations",Amazon,,5-8 Years,,
"Senior Business Analyst, APAC Payment Business Operations",Amazon,,5-8 Years,,
Data Migration Sr. Analyst,Varite India Private Limited,,10-13 Years,,
BODS Data Migration Sr. Analyst \/ Lead,Varite India Private Limited,,10-13 Years,,
Associate ETL Analyst,Clarivate,,1-4 Years,,
Content Ingest Analyst,Clarivate,,,,
Apps Dev Intermed Prgmr Anlyst,Citi,,8-11 Years,,
"Analyst, Information Security",Standard Chartered,,"Analyst
Information Security",,
"Analyst, Information Security",Standard Chartered,,"Analyst
Information Security",,
Associate Content Ingest Analyst,Clarivate,,1-4 Years,,
Lead Assistant Manager,EXL IT service management,,6-8 Years,,
Suuply Chain Backlog Mgmt. Analyst II,Hewlett Packard Enterprise India Private Limited,,2-6 Years,,
Business Analyst,Standard Chartered,,Business Analyst,,
Business Analyst,Standard Chartered,,Business Analyst,,
"Specialist, Development",Standard Chartered,,5-8 Years,,
RPA UI path,Varite India Private Limited,,RPA UI path,,
Ab-initio Developer_CitiRiskRetail_Chennai_C11_R22043505,Citi,,2-8 Years,,
IT Business Lead Analyst,Citi,,15-18 Years,,
IT Business Lead Analyst,Citi,,15-18 Years,,
Apps Dev Sr. Programmer Analyst,Citi,,6-9 Years,,
Delphi - Data Analyst - L4 (29284),Incedoinc,,3-5 Years,,
Delphi - Data Analyst - L5 (29285),Incedoinc,,5-7 Years,,
Lead Data Scientist (33181),Incedoinc,,5-8 Years,,
Java Spark Bigdata Engineer – RegInsight APAC-Chennai-Officer/C11,Citi,,6-9 Years,,
Analyst I-Sys Admin & Support,Bank of America,,,,
RMO GFT Oracle P2P Business Analyst Project Accounting/General Ledger– Chennai – C11 (R21110539),Citi,,7-10 Years,,
Business Analysis Lead,"FIS Global Business Solutions India Private Limited ",,,,
"Senior Business Analyst, APAC Payment Business Operations",Amazon Flex,,5-8 Years,,
JD Edward Data analyst,ANI Calls India Private Limited,,6-8 Years,,
Senior Business Data Analyst,ANI Calls India Private Limited,,5-10 Years,,
"Specialist, Development",Standard Chartered,,5-8 Years,,
Senior Analyst – Data Analytics,Flex,,1-3 Years,,
System Engineer & System Analyst,The Zigma Technologies India Private Limited,,3-10 Years,,
Lead Assistant Manager,People Strong,,6-10 Years,,
Positions to Work _ Nadeem,Arminus Software Private Limited,,,,
Data Analyst-Python,Stalwart management consulting,,3-7 Years,,
Senior IT Operations Analyst,Wolters Kluwer India Private Limited,,3-5 Years,,
IT Analyst Logistics,BorgWarner Inc.,,7-10 Years,,
"Job Opening for SCD Analyst for Logistics Company at Bangalore, Chennai & Mumbai",Convate Consultancy Services Private Limited,,2-8 Years,,
Business Analyst,Barclays,,5-8 Years,,
QA Test Engineer,Executive81 HR Solutions Private Limited,,2-5 Years,,
Data Processing Analyst-OMNI Sales,NielsenIQ,,Data Processing Analyst-OMNI Sales,,
Senior Data Processing Analyst– Core SO,NielsenIQ,,Senior Data Processing Analyst– Core SO,,
Senior Data Processing Analyst-Tech SO,NielsenIQ,,Senior Data Processing Analyst-Tech SO,,
Team Lead- Core SO,NielsenIQ,,3-4 Years,,
Data Processing Analyst - Core SO,NielsenIQ,,Data Processing Analyst - Core SO,,
Business Performance Analyst,Ramboll India Private Limited,,3-5 Years,,
Hyperion Analyst,Zillion Technologies (India) Private Limited,,5-14 Years,,
