Job Position Name,Company Name,Pay,Experience,Rating,URL
Senior Data Scientist,SG Analytics,Not disclosed,4-8 Yrs,3.8,https://www.naukri.com/job-listings-senior-data-scientist-sg-analytics-pvt-ltd-hyderabad-secunderabad-pune-bangalore-bengaluru-4-to-8-years-181022014706
Senior Data Management Analyst,Wells Fargo,Not disclosed,4-7 Yrs,4.2,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-4-to-7-years-290622502041
Senior Data / Product Analyst,CBRE,Not disclosed,5-10 Yrs,4.3,https://www.naukri.com/job-listings-senior-data-product-analyst-cbre-south-asia-pvt-ltd-hyderabad-secunderabad-gurgaon-gurugram-5-to-10-years-161122008377
Principal Data Scientist,Novartis,Not disclosed,7-11 Yrs,4.1,https://www.naukri.com/job-listings-principal-data-scientist-novartis-healthcare-pvt-ltd-hyderabad-secunderabad-7-to-11-years-171122502059
Business Data Analyst / Investment Risk Analyst,Franklin Templeton,Not disclosed,4-6 Yrs,4.2,https://www.naukri.com/job-listings-business-data-analyst-investment-risk-analyst-franklin-templeton-international-hyderabad-secunderabad-4-to-6-years-091122500784
MNC hiring For Data scientist/ Data science professional,LIVE CONNECTIONS PLACEMENTS PRIVATE LIMITED,"19,00,000 - 25,00,000 PA.",10-12 Yrs,,https://www.naukri.com/job-listings-mnc-hiring-for-data-scientist-data-science-professional-live-connections-placements-private-limited-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-10-to-12-years-091122006502
Data Analyst,Quickxpert Infotech,Not disclosed,0-5 Yrs,3.0,https://www.naukri.com/job-listings-data-analyst-quickxpert-infotech-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262
Data Analyst,Bsharp,Not disclosed,0-1 Yrs,,https://www.naukri.com/job-listings-data-analyst-bsharp-sales-enablers-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-0-to-1-years-101122501949
Associate Master Data Analyst,CPA Global,Not disclosed,0-2 Yrs,3.9,https://www.naukri.com/job-listings-associate-master-data-analyst-cpa-global-support-services-india-pvt-limited-hyderabad-secunderabad-0-to-2-years-101122500309
ASSISTANT DATA ANALYST,Aditya Pharmacy,Not disclosed,0-2 Yrs,1.9,https://www.naukri.com/job-listings-assistant-data-analyst-aditya-pharmacy-hyderabad-secunderabad-0-to-2-years-231221500803
Lead Data Management Analyst,Wells Fargo,Not disclosed,5-10 Yrs,4.2,https://www.naukri.com/job-listings-lead-data-management-analyst-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-141022500839
Senior Software Engineer - Data Analyst,CGI,Not disclosed,4-6 Yrs,4.2,https://www.naukri.com/job-listings-senior-software-engineer-data-analyst-cgi-information-systems-and-management-consultants-private-limited-hyderabad-secunderabad-bangalore-bengaluru-4-to-6-years-191022907653
Data Scientist,Frost Interactive,Not disclosed,3-8 Yrs,3.1,https://www.naukri.com/job-listings-data-scientist-frost-interactive-services-private-limited-ace-online-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-091122005347
Business & Data Analyst- Assistant Manager,SmartAdvisor Match,Not disclosed,1-3 Yrs,,https://www.naukri.com/job-listings-business-data-analyst-assistant-manager-statestreet-global-advisor-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-1-to-3-years-180822502282
HCL Hiring Data Analyst,HCLTech,Not disclosed,3-7 Yrs,3.8,https://www.naukri.com/job-listings-hcl-hiring-data-analyst-hcl-technologies-limited-hyderabad-secunderabad-3-to-7-years-151122009383
Associate Master Data Analyst,Clarivate,Not disclosed,0-2 Yrs,3.9,https://www.naukri.com/job-listings-associate-master-data-analyst-clarivate-analytics-hyderabad-secunderabad-0-to-2-years-111122500514
Sr Data Analyst,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE),"10,00,000 - 15,00,000 PA.",5-8 Yrs,4.2,https://www.naukri.com/job-listings-sr-data-analyst-cambridge-technology-enterprises-limited-hyderabad-secunderabad-5-to-8-years-161122010180
Sr . Data Analyst,Tech Mahindra,Not disclosed,2-12 Yrs,3.7,https://www.naukri.com/job-listings-sr-data-analyst-tech-mahindra-ltd-hyderabad-secunderabad-2-to-12-years-031122501478
Data Scientist,Heaps Health Solutions India,Not disclosed,1-4 Yrs,3.6,https://www.naukri.com/job-listings-data-scientist-heaps-health-solutions-india-hyderabad-secunderabad-bangalore-bengaluru-1-to-4-years-210522500177
